page_num,row_num,full_link,company,co_hq_city,co_hq_zip,labor_area,id,notice_date
page002.html,40,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=249,ARRIS Group Inc.  ,Suwanee  ,30024  ,7  ,249,2016-08-24
page002.html,41,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=232,ASARCO Grupo Mexico  ,Tucson  ,85711  ,2002  ,232,2016-02-11
page002.html,42,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=216,ASARCO Grupo Mexico  ,Tucson  ,85711  ,14  ,216,2015-08-21
page002.html,43,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=92,"Asset Acceptance, LLC  ",Warren  ,48093  ,7  ,92,2012-09-10
page002.html,44,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=301,AT&T  ,Phoenix  ,85044  ,5  ,301,2018-06-14
page002.html,45,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=252,AT&T  ,Phx  ,85027  ,5  ,252,2016-11-29
page002.html,46,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=32,ATC/Vancom of Arizona L.P. dba Veolia Tranport.  ,Phoenix  ,85003  ,7  ,32,2010-04-28
page002.html,47,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=205,Atkore International  ,Harvey  ,60426  ,5  ,205,2015-08-06
page002.html,48,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=215,ATSCO Remanufacturing Inc.  ,Daphne  ,36526  ,5  ,215,2015-08-26
page002.html,49,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=86,"Bada Bing Bakery LLC, dba Chompie's Baking Co.  ",Phoenix  ,85034  ,7  ,86,2012-03-16
page002.html,50,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=141,Bank of America  ,Washington  ,20004  ,7  ,141,2013-11-22
page003.html,51,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=218,"Beck, Chaet, Bamberger,& Polsky, S.C.  ",Milwaukee  ,53202  ,5  ,218,2015-08-14
page003.html,52,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=402,Bella Fresh  ,Phoenix  ,85043  ,5  ,402,2020-02-05
page003.html,53,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=171,"Benchmark Electronics Phoenix, Inc.  ",Phoenix  ,85023  ,5  ,171,2014-10-30
page003.html,54,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=433,Best Western Hotels & Resorts  ,Phoenix  ,85016  ,5  ,433,2020-03-25
page003.html,55,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=121,"Blue Chip southwest, LLC  ",Walnut Creek  ,94598  ,7  ,121,2014-01-24
page003.html,56,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=292,Boyd Coffee Company  ,Tempe  ,85282  ,7  ,292,2018-03-22
page003.html,57,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=48,Bridgeway Health Solutions  ,Tucson  ,85714  ,6  ,48,2011-07-29
page003.html,58,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=307,C & W Services  ,Dallas  ,75254  ,5  ,307,2018-07-03
page003.html,59,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=208,Calvery Staffing  ,Phoenix  ,95040  ,5  ,208,2015-08-04
page003.html,60,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=422,"Cameron Mitchell Restaurants, LLC  ",Columbus  ,85054  ,5  ,422,2020-03-24
page003.html,61,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=181,Captial Group Companies Global  ,Scottsdale  ,85254  ,7  ,181,2015-04-22
page003.html,62,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=33,CardWorks Processing LLC  ,Tucson  ,85711  ,6  ,33,2011-12-01
page003.html,63,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=47,Carlota Copper Company  ,Miami  ,85539  ,2  ,47,2011-08-01
