id,page_num,page_name,full_link,company,co_hq_city,co_hq_state,co_hq_zip,labor_area,notice_date,num_employees_affected
343,page004.html,id=343,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=343,Dexcom  ,San Diego  ,CA,92121  ,7  ,2019-02-26,160
342,page004.html,id=342,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=342,DialAmerica Marketing  ,Phoenix  ,AZ,85040  ,5  ,2019-03-04,182
297,page005.html,id=297,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=297,Direct Energy  ,Houston  ,TX,77046  ,7  ,2018-04-30,195
383,page005.html,id=383,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=383,District medical Group (DMG)  ,Phoenix  ,AZ,85008  ,5  ,2019-11-14,67
388,page005.html,id=388,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=388,Ditech Financial LLC  ,Tempe  ,AZ,85282  ,7  ,2019-12-16,50
24,page005.html,id=24,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=24,"Dole Fresh Vegetables, Inc.  ",Yuma  ,AZ,85365  ,9  ,2010-08-27,652
313,page005.html,id=313,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=313,Dream Center Education Holdings  ,Phoenix  ,AZ,85201  ,5  ,2018-06-29,162
437,page005.html,id=437,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=437,Drive Time  ,Phoenix  ,AZ,85040  ,5  ,2020-03-27,54
375,page005.html,id=375,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=375,Dun & Bradstreet  ,Tucson  ,AZ,85701  ,6  ,2019-10-29,245
400,page005.html,id=400,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=400,Dyncorp  ,Tucson  ,AZ,85704  ,6  ,2020-01-15,200
30,page005.html,id=30,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=30,Embassy Suites Hotel (Phoenix)  ,Phoenix  ,AZ,85008  ,7  ,2010-06-14,73
409,page005.html,id=409,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=409,Embassy Suites Tempe  ,Tempe  ,AZ,85282  ,5  ,2020-03-18,47
179,page005.html,id=179,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=179,"Enterprise Recovery Ststems, Inc  ",Oak Brook  ,IL,60523  ,7  ,2015-03-31,132
311,page005.html,id=311,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=311,Essity North America LLC  ,Bellemont  ,AZ,86015  ,10  ,2018-09-18,116
378,page005.html,id=378,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=378,First Solar  ,Tempe  ,AZ,85281  ,7  ,2019-10-30,78
114,page005.html,id=114,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=114,Fortner Aerospace/PCC Aerostuructures  ,Prescott  ,AZ,86301  ,12  ,2013-12-04,78
415,page005.html,id=415,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=415,Four Seasons Resort  ,Scottsdale  ,AZ,85262  ,7  ,2020-03-20,422
219,page005.html,id=219,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=219,Freeport-McMoRan  ,Phoenix  ,AZ,85004  ,14  ,2015-08-27,170
220,page005.html,id=220,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=220,Freeport-McMoRan Sierrita Inc.  ,Phoenix  ,AZ,85004  ,6  ,2015-10-22,580
312,page005.html,id=312,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=312,G/O Digital  ,Phoenix  ,AZ,85004  ,5  ,2018-09-20,89
315,page005.html,id=315,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=315,Gannett Satellite Information Network  ,Phoenix  ,AZ,85004  ,5  ,2018-09-26,72
120,page005.html,id=120,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=120,GE Capital  ,Phoenix  ,AZ,85040  ,5  ,2014-01-15,89
238,page005.html,id=238,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=238,GENCO  ,Pittsburgh  ,PA,15238  ,7  ,2016-03-29,73
113,page005.html,id=113,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=113,Geneeral Dynamics Information Technology  ,Fairfax  ,VA,22030  ,6  ,2013-07-17,102
116,page005.html,id=116,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=116,General Dynamics Information Technology  ,Fairfax  ,VA,22031  ,5  ,2014-03-06,187
337,page005.html,id=337,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=337,General Dynamics Information Technology  ,Fort Huachuca  ,AZ,85613  ,1  ,2019-02-26,201
310,page005.html,id=310,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=310,GenRx Phamacy  ,Scottsdale  ,AZ,85255  ,7  ,2018-09-19,123
387,page006.html,id=387,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=387,Global Solar  ,Tucson  ,AZ,85747  ,6  ,2019-10-24,97
91,page006.html,id=91,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=91,"Global Solar Energy, Inc.  ",Tucson  ,AZ,85747  ,6  ,2012-07-19,39
138,page006.html,id=138,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=138,GNC Live Well  ,Phoenix  ,AZ,85043  ,5  ,2013-10-10,30
253,page006.html,id=253,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=253,GO Digital  ,Phx  ,AZ,85004  ,5  ,2016-11-17,153
416,page006.html,id=416,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=416,Go Rentals  ,Newport  ,CA,92660  ,7  ,2020-03-23,275
226,page006.html,id=226,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=226,"Golden EagleDistributors, Inc.  ",Tucson  ,AZ,27506  ,6  ,2016-01-11,229
227,page006.html,id=227,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=227,"Golden EagleDistributors, Inc.  ",Tucson  ,AZ,27506  ,2  ,2016-01-11,51
228,page006.html,id=228,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=228,"Golden EagleDistributors, Inc.  ",Tucson  ,AZ,27506  ,7  ,2016-01-11,47
229,page006.html,id=229,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=229,"Golden EagleDistributors, Inc.  ",Tucson  ,AZ,27506  ,10  ,2016-01-11,50
230,page006.html,id=230,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=230,"Golden EagleDistributors, Inc.  ",Tucson  ,AZ,27506  ,14  ,2016-01-11,16
231,page006.html,id=231,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=231,"Golden EagleDistributors, Inc.  ",Tucson  ,AZ,27506  ,7  ,2016-01-11,31
146,page006.html,id=146,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=146,Greenbrier Rail Services  ,Lake Oswego  ,OR,97035  ,6  ,2013-05-05,89
167,page006.html,id=167,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=167,GT Advanced Technologies  ,Mesa  ,AZ,85212  ,7  ,2014-10-16,727
95,page006.html,id=95,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=95,Guardian Building Products  ,Greer  ,SC,29651  ,11  ,2012-10-15,89
209,page006.html,id=209,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=209,"Haggen, Inc.  ",Irvine  ,CA,92618  ,6  ,2015-08-14,51
211,page006.html,id=211,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=211,"Haggen, Inc.  ",Irvine  ,CA,92618  ,6  ,2015-08-14,35
212,page006.html,id=212,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=212,"Haggen, Inc.  ",Irvine  ,CA,92618  ,7  ,2015-08-14,45
213,page006.html,id=213,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=213,"Haggen, Inc.  ",Irvine  ,CA,92618  ,10  ,2015-08-14,44
214,page006.html,id=214,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=214,"Haggen, Inc.  ",Irvine  ,CA,92618  ,12  ,2015-08-14,51
255,page006.html,id=255,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=255,"Hanjin Shipping America, LLC  ",Chandler  ,AZ,85224  ,7  ,2016-10-12,181
393,page006.html,id=393,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=393,Hard Rock Cafe International  ,Phoenix  ,AZ,85004  ,5  ,2019-12-28,33
99,page006.html,id=99,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=99,Hawker Beechcraft Corporation  ,Witchita  ,KS,67206  ,7  ,2012-11-14,38
300,page006.html,id=300,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=300,Hawrhorne Gardening  ,Chandler  ,AZ,85226  ,7  ,2018-06-06,76
36,page006.html,id=36,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=36,"Healthways, Inc.  ",Phoenix  ,AZ,85044  ,7  ,2011-11-16,92
109,page006.html,id=109,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=109,Heracus Materials Technology North America LLC  ,Chandler  ,AZ,85226  ,7  ,2013-03-01,180
151,page007.html,id=151,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=151,Highway Technologies  ,Houston  ,TX,77002  ,7  ,2013-05-17,60
20,page007.html,id=20,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=20,Hines Nurseries  ,Chino Valley  ,AZ,86323  ,12  ,2010-10-06,133
97,page007.html,id=97,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=97,HMSHost  ,Phoenix  ,AZ,85034  ,5  ,2012-10-29,409
55,page007.html,id=55,https://www.azjobconnection.gov/ada/mn_warn_dsp.cfm?id=55,Hometown America  ,Apache Junction  ,AZ,85219  ,6  ,2011-05-31,16
